202105,b2101,yegW,748
202106,b2102,yegX,820
206563,b4499,molR,3797
206564,b2118,yehI,3634
206565,b4541,yehK,319
206566,b2119,yehL,1090
206567,b2120,yehM,2281
206568,b2121,yehP,1138
206569,b2122,yehQ,1846
206570,b2123,yehR,463
206571,b2124,yehS,472
206572,b2125,yehT,721
206573,b2126,yehU,1687
206574,b2127,mlrA,733
206575,b4542,yohO,109
206576,b2128,yehW,733
206577,b2129,yehX,928
206578,b2130,yehY,1159
206579,b2131,yehZ,919
206580,b2132,bglX,2299
206581,b2133,dld,1717
206582,b2134,pbpG,934
206583,b2135,yohC,589
211052,b2160,yeiI,1090
211053,b2161,yeiJ,1252
211054,b2162,rihB,943
211055,b2163,yeiL,661
211056,b2164,yeiM,1252
211057,b2165,yeiN,940
211058,b2166,yeiC,943
215606,b2266,elaB,307
215607,b2267,elaA,463
215608,b2268,elaC,919
215609,b2269,elaD,1213
215610,b2270,yfbK,1729
215611,b2271,yfbL,973
215612,b2272,yfbM,505
215613,b2273,yfbN,718
215614,b2274,yfbO,478
215615,b2275,yfbP,853
220084,b2298,yfcC,1522
220085,b2299,yfcD,544
220086,b2300,yfcE,556
220087,b2301,yfcF,646
220088,b2302,yfcG,649
220089,b2303,folX,364
220090,b2304,yfcH,895
220091,b2305,yfcI,892
220092,b2306,hisP,775
220093,b2307,hisM,718
220094,b2308,hisQ,688
220095,b2309,hisJ,784
220096,b2310,argT,784
224579,b2349,intS,1159
224580,b2350,yfdG,364
224581,b2351,yfdH,922
224582,b2352,yfdI,1333
224583,b2353,tfaS,304
224584,b2354,yfdK,442
224585,b2355,yfdL,520
224586,b2356,yfdM,277
224587,b2357,yfdN,496
224588,b2358,yfdO,370
224589,b2359,yfdP,448
224590,b2360,yfdQ,826
224591,b2361,yfdR,538
224592,b2362,yfdS,364
224593,b2363,yfdT,307
224594,b4545,ypdJ,142
229056,b2380,ypdA,1699
229057,b2381,ypdB,736
229058,b2382,ypdC,859
229059,b2383,ypdD,2497
229060,b2384,ypdE,1039
229061,b2385,ypdF,1087
229062,b2386,ypdG,1249
229063,b2387,ypdH,328
233734,b2622,intA,1243
233735,b2623,yfjH,958
233736,b2624,alpA,214
233737,b2625,yfjI,1411
233738,b2626,yfjJ,628
233739,b2627,yfjK,2191
233740,b2628,yfjL,1618
233741,b2629,yfjM,265
233742,b2630,yfjN,1075
233743,b2631,yfjO,373
233744,b2632,yfjP,865
233745,b2633,yfjQ,823
233746,b2634,yfjR,703
233747,b2635,ypjK,238
233748,b2636,yfjS,445
233749,b2637,yfjT,469
233750,b2638,yfjU,316
233751,b2639,ypjL,520
233752,b2640,yfjV,202
233753,b2641,ypjM,184
233754,b2642,yfjW,1705
233755,b2643,yfjX,460
233756,b2644,yfjY,484
233757,b4548,ypjJ,202
233758,b2645,yfjZ,319
233759,b2646,ypjF,331
233760,b2647,ypjA,4582
233761,b2648,pinH,145
233762,b2649,ypjB,793
233763,b2650,ypjC,484
233764,b2652,ileY,77
233765,b2654,ygaQ,334
233766,b4462,ygaR,688
233767,b2657,yqaC,598
233768,b2658,yqaD,274
233769,b2659,ygaT,979
238218,b2664,csiR,664
238219,b2665,ygaU,451
238220,b2666,yqaE,160
238221,b2667,ygaV,301
238222,b2668,ygaP,526
238223,b2669,stpA,406
238224,b2670,ygaW,451
238225,b2671,ygaC,346
238226,b2672,ygaM,343
238227,b2673,nrdH,247
238228,b2674,nrdI,412
238229,b2675,nrdE,2146
242675,b2677,proV,1204
242676,b2678,proW,1066
242677,b2679,proX,994
242678,b2680,ygaX,268
242679,b2681,ygaY,883
242680,b2682,ygaZ,739
242681,b2683,ygaH,337
247145,b2702,srlA,565
247146,b2703,srlE,961
247147,b2704,srlB,373
247148,b2705,srlD,781
247149,b2706,gutM,361
247150,b2707,srlR,775
247151,b2708,gutQ,967
251668,b2782,chpA,337
251669,b2783,chpR,250
256179,b2845,yqeG,1231
256180,b2846,yqeH,634
256181,b2847,yqeI,811
256182,b2848,yqeJ,484
256183,b2849,yqeK,427
256184,b2850,ygeF,448
256185,b2851,ygeG,493
256186,b2852,ygeH,1378
256187,b2853,ygeI,220
256188,b2854,pbl,376
256189,b2855,ygeK,445
256190,b2856,ygeL,157
256191,b2857,ygeM,433
256192,b2858,ygeN,274
256193,b2859,ygeO,427
256194,b2860,insD,907
256195,b2861,insC,412
256196,b2862,ygeP,301
256197,b2863,ygeQ,796
256198,b2864,glyU,75
256199,b2865,ygeR,757
256200,b2866,xdhA,2260
256201,b2867,xdhB,880
256202,b2868,xdhC,481
256203,b2869,ygeV,1780
256204,b2870,ygeW,1192
256205,b2871,ygeX,1198
256206,b2872,ygeY,1213
256207,b2873,hyuA,1387
256208,b2874,yqeA,934
256209,b2875,yqeB,1627
256210,b2876,yqeC,772
256211,b2877,ygfJ,580
256212,b2878,ygfK,3100
256213,b2879,ssnA,1330
256214,b2880,ygfM,781
256215,b2881,xdhD,2872
256216,b2882,ygfO,1402
256217,b2883,guaD,1321
256218,b4464,ygfQ,1369
256219,b2886,ygfS,490
256220,b2887,ygfT,1921
256221,b2888,ygfU,1450
256222,b2889,idi,550
260710,b2933,cmtA,1390
260711,b2934,cmtB,445
265189,b2968,yghD,538
265190,b2969,yghE,862
265191,b2970,yghF,868
265192,b2971,yghG,412
265193,b2972,pppA,811
